time,ranking,name,heat,marketPrice,legalPrice,amountIncrease
20190606165600,1,BIKIBiki.com,,¥2亿,¥0.468446,-1.85%
20190606165600,2,GXC公信宝,,¥6.09亿,¥10.1511,+1.08%
20190606165600,3,MXMX Token,,¥2.42亿,¥0.807058,+4.25%
20190606165600,4,ETH以太坊,,"¥1,806.97亿","¥1,698.98",-0.53%
20190606165600,5,TRX波场,,¥152.71亿,¥0.228991,-2.32%
20190606165600,6,SNTStatus,,¥6.43亿,¥0.185372,-1.21%
20190606165600,7,AEAeternity,,¥9.41亿,¥3.5083,-1.51%
20190606165600,8,EGTEgretia,,¥2.18亿,¥0.053269,+1.95%
20190606165600,9,ELFaelf,,¥3.89亿,¥1.2977,+2.49%
20190606165600,10,BTM比原链,,¥9.48亿,¥0.945235,-2.46%
20190606165600,11,ABT区块基石,,¥2.84亿,¥2.8862,+11.78%
20190606165600,12,ADC智能链,,¥1亿,¥1.6676,+4.67%
20190606165600,13,MXMMaximine Coin,,¥5.65亿,¥0.342956,-6.43%
20190606165600,14,UUUU Network,,"¥7,093.71万",¥0.010474,+20.38%
20190606165600,15,NEW牛顿,,¥3.09亿,¥0.025856,+2.83%
20190606165600,16,BIXBIX Token,,¥2.32亿,¥1.7901,-0.4%
20190606165600,17,MTMyToken,,"¥2,640.39万",¥0.020204,+3.2%
20190606165600,18,LAMBLambda,,¥4.03亿,¥0.492164,-1.56%
20190606165600,19,ZILZilliqa,,¥9.81亿,¥0.148107,+0.57%
20190606165600,20,BKK币客币,,¥1.76亿,¥1.6506,+0.52%
20190606165600,21,BCHSVbitcoinSV,,¥241.39亿,"¥1,381.56",-7.72%
20190606165600,22,LINKChainLink,,¥27.17亿,¥7.7587,+2.25%
20190606165600,23,SOPSoPay,,"¥1,969.88万",¥0.040563,-0.68%
20190606165600,24,ENGEnigma,,¥2.65亿,¥3.5452,+7.89%
20190606165600,25,MXCMachine Xchange Coin,,-,¥0.047258,+7.09%
20190606165600,26,BNBBinance Coin,,¥307.18亿,¥217.49,+1.76%
20190606165600,27,PAIObEN,,¥4.57亿,¥0.307976,-1.01%
20190606165600,28,FSNFusion,,¥2.45亿,¥7.4773,+0.97%
20190606165600,29,XRP瑞波币,,"¥1,169.59亿",¥2.7734,-0.57%
20190606165600,30,ONT本体,,¥53.44亿,¥8.936,-0.56%
