time,ranking,name,heat,marketPrice,legalPrice,amountIncrease
2019-06-06 15:20:47.344041,1,TRX波场,,¥157.78亿,¥0.236632,+0.94%
2019-06-06 15:20:47.345541,2,GXC公信宝,,¥6.13亿,¥10.2218,+1.78%
2019-06-06 15:20:47.346546,3,BIKIBiki.com,,¥1.97亿,¥0.460587,-3.5%
2019-06-06 15:20:47.347042,4,MXMX Token,,¥2.37亿,¥0.790258,+2.08%
2019-06-06 15:20:47.347556,5,BNBBinance Coin,,¥306.49亿,¥217.17,+1.61%
2019-06-06 15:20:47.348045,6,MXMMaximine Coin,,¥5.76亿,¥0.349252,-4.71%
2019-06-06 15:20:47.348545,7,ETH以太坊,,"¥1,815.27亿","¥1,706.52",-0.09%
2019-06-06 15:20:47.349043,8,BTM比原链,,¥9.71亿,¥0.965979,-0.31%
2019-06-06 15:20:47.350546,9,AEAeternity,,¥9.57亿,¥3.5697,+0.21%
2019-06-06 15:20:47.351045,10,UUUU Network,,"¥6,538.25万",¥0.009685,+11.32%
2019-06-06 15:20:47.351546,11,LINKChainLink,,¥26.23亿,¥7.4952,-1.22%
2019-06-06 15:20:47.352045,12,GETGlobal Escrow Token,,-,¥0.22173,-1.29%
2019-06-06 15:20:47.352546,13,BKK币客币,,¥1.77亿,¥1.6536,+0.71%
2019-06-06 15:20:47.353047,14,EGTEgretia,,¥2.09亿,¥0.051172,-2.06%
2019-06-06 15:20:47.354547,15,MTMyToken,,"¥2,618.65万",¥0.020029,+2.3%
2019-06-06 15:20:47.356549,16,NEW牛顿,,¥3.15亿,¥0.026354,+4.8%
2019-06-06 15:20:47.357551,17,ZILZilliqa,,¥10亿,¥0.151207,+2.67%
2019-06-06 15:20:47.358050,18,IOSTIOStoken,,¥9.33亿,¥0.077694,+0.7%
2019-06-06 15:20:47.358550,19,BIXBIX Token,,¥2.34亿,¥1.7996,+0.13%
2019-06-06 15:20:47.359050,20,SOPSoPay,,"¥1,979.94万",¥0.040739,-0.24%
2019-06-06 15:20:47.359551,21,BCHSVbitcoinSV,,¥258.61亿,"¥1,479.95",-1.13%
2019-06-06 15:20:47.360053,22,ADC智能链,,"¥9,784.6万",¥1.6308,+2.36%
2019-06-06 15:20:47.360551,23,LAMBLambda,,¥4.03亿,¥0.492867,-1.42%
2019-06-06 15:20:47.361052,24,ABT区块基石,,¥2.75亿,¥2.7926,+8.12%
2019-06-06 15:20:47.362053,25,ONT本体,,¥53.65亿,¥8.9784,-0.08%
2019-06-06 15:20:47.362553,26,ELFaelf,,¥3.83亿,¥1.277,+0.86%
2019-06-06 15:20:47.363054,27,ETP熵,,¥5.7亿,¥7.9664,-0.94%
2019-06-06 15:20:47.363054,28,PAIObEN,,¥4.56亿,¥0.314475,+1.07%
2019-06-06 15:20:47.363554,29,RHOCRChain,,¥1.46亿,¥0.389966,+1.08%
2019-06-06 15:20:47.364054,30,FSNFusion,,¥2.42亿,¥7.3816,-0.31%
