time,ranking,name,heat,marketPrice,legalPrice,amountIncrease
20190606170931,1,BIKIBiki.com,,$29M,$0.06791,-1.69%
20190606170931,2,MXMX Token,,$34.87M,$0.11646,+3.93%
20190606170931,3,GXCGXChain,,$88.02M,$1.467,+0.93%
20190606170931,4,TRXTRON,,$2.22B,$0.033247,-2.02%
20190606170931,5,ETHEthereum,,$26.24B,$246.76,-0.18%
20190606170931,6,EGTEgretia,,$31.87M,$0.007773,+2.78%
20190606170931,7,ADCAndroid Chain,,$14.7M,$0.244956,+6.23%
20190606170931,8,BTMBytom,,$137.44M,$0.13708,-2.26%
20190606170931,9,MTMyToken,,$3.86M,$0.003086,+8.9%
20190606170931,10,AEAeternity,,$136.26M,$0.508289,-1.41%
20190606170931,11,SNTStatus,,$93.45M,$0.026968,-0.7%
20190606170931,12,PAIObEN,,$65.98M,$0.04547,+0.97%
20190606170931,13,IMGImageCoin,,$0,$0.112429,+19.45%
20190606170931,14,NEWNewton,,$45M,$0.003762,+3.38%
20190606170931,15,BKKBKEX Token,,$25.69M,$0.240293,+1.11%
20190606170931,16,LAMBLambda,,$58.23M,$0.071185,-1.63%
20190606170931,17,PDXPDX Blockchain,,$2.9M,$0.001437,+55.46%
20190606170931,18,MXMMaximine Coin,,$81.82M,$0.049603,-6.49%
20190606170931,19,BIXBIX Token,,$33.7M,$0.259305,-0.31%
20190606170931,20,SOPSoPay,,$2.88M,$0.005936,+0.43%
20190606170931,21,MXCMachine Xchange Coin,,$0,$0.00685,+7.24%
20190606170931,22,BCHSVbitcoinSV,,$3.52B,$200.99,-7.25%
20190606170931,23,BNBBinance Coin,,$4.45B,$31.5287,+1.93%
20190606170931,24,ELFaelf,,$56.27M,$0.187525,+2.33%
20190606170931,25,ABTArcBlock,,$41.21M,$0.418131,+11.94%
20190606170931,26,LINKChainLink,,$392.61M,$1.1231,+2.26%
20190606170931,27,ZILZilliqa,,$142.54M,$0.021427,+0.52%
20190606170931,28,XRPRipple,,$16.96B,$0.401821,-0.47%
20190606170931,29,IDTInvestDigital,,$10.72M,$0.029729,+31.21%
20190606170931,30,RVNRavenCoin,,$236.08M,$0.063815,-2.03%
